league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,positions,tags,x,y,is_goal
France,2500686,256992,3799,605.975493,1H,Shot,"[{'y': 57, 'x': 94}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",94,57,1
France,2500686,334552,3772,859.236394,1H,Shot,"[{'y': 42, 'x': 83}, {'y': 100, 'x': 100}]","[{'id': 403}, {'id': 1214}, {'id': 1802}]",83,42,0
France,2500686,26389,3772,1568.104834,1H,Shot,"[{'y': 43, 'x': 96}, {'y': 100, 'x': 100}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",96,43,1
France,2500686,276920,3772,1800.852078,1H,Shot,"[{'y': 21, 'x': 84}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 1210}, {'id': 1802}]",84,21,0
France,2500686,366760,3799,2009.537139,1H,Shot,"[{'y': 51, 'x': 73}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",73,51,0
France,2500686,274344,3799,2072.957133,1H,Shot,"[{'y': 59, 'x': 72}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 1215}, {'id': 1802}]",72,59,0
France,2500686,334552,3772,110.75678999999991,2H,Shot,"[{'y': 32, 'x': 82}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",82,32,0
France,2500686,274970,3772,410.5420290000002,2H,Shot,"[{'y': 51, 'x': 93}, {'y': 100, 'x': 100}]","[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",93,51,1
France,2500686,256992,3799,684.0321909999998,2H,Shot,"[{'y': 68, 'x': 87}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",87,68,0
France,2500686,26044,3799,707.2584419999998,2H,Shot,"[{'y': 21, 'x': 82}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 1214}, {'id': 1802}]",82,21,0
France,2500686,334552,3772,1576.405874,2H,Shot,"[{'y': 37, 'x': 88}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",88,37,0
France,2500686,26120,3799,2206.8192369999997,2H,Shot,"[{'y': 50, 'x': 79}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1203}, {'id': 1801}]",79,50,0
France,2500686,274344,3799,2215.477772,2H,Shot,"[{'y': 34, 'x': 75}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 1214}, {'id': 1802}]",75,34,0
France,2500686,26638,3799,2558.6243059999997,2H,Shot,"[{'y': 55, 'x': 87}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",87,55,0
France,2500686,253784,3799,2560.235393,2H,Shot,"[{'y': 47, 'x': 93}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",93,47,1
France,2500687,286553,3776,122.92035600000003,1H,Shot,"[{'y': 64, 'x': 88}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",88,64,0
France,2500687,250134,3776,512.154226,1H,Shot,"[{'y': 34, 'x': 90}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1215}, {'id': 1802}]",90,34,0
France,2500687,250134,3776,828.6870260000001,1H,Shot,"[{'y': 38, 'x': 87}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",87,38,0
France,2500687,217874,3770,1231.154918,1H,Shot,"[{'y': 43, 'x': 77}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1207}, {'id': 1801}]",77,43,0
France,2500687,99453,3770,1234.432647,1H,Shot,"[{'y': 45, 'x': 95}, {'y': 100, 'x': 100}]","[{'id': 403}, {'id': 201}, {'id': 1215}, {'id': 1802}]",95,45,0
France,2500687,286553,3776,1449.254948,1H,Shot,"[{'y': 65, 'x': 79}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",79,65,0
France,2500687,25923,3776,1644.963852,1H,Shot,"[{'y': 44, 'x': 94}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 201}, {'id': 1212}, {'id': 1802}]",94,44,0
France,2500687,286553,3776,1862.828583,1H,Shot,"[{'y': 58, 'x': 73}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",73,58,0
France,2500687,25923,3776,2200.403186,1H,Shot,"[{'y': 67, 'x': 86}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1215}, {'id': 1802}]",86,67,0
France,2500687,213308,3776,136.1846700000001,2H,Shot,"[{'y': 36, 'x': 80}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",80,36,1
