xg_bin,n_shots,mean_pred_xg,observed_goal_rate
"(-0.000684, 0.021]",846,0.015288272835629113,0.022458628841607566
"(0.021, 0.0305]",849,0.025633898832772003,0.02120141342756184
"(0.0305, 0.0418]",844,0.03574251917338706,0.02843601895734597
"(0.0418, 0.0576]",842,0.049476812149472284,0.030878859857482184
"(0.0576, 0.075]",846,0.0665406521836537,0.05200945626477541
"(0.075, 0.0933]",844,0.08394087496007736,0.0971563981042654
"(0.0933, 0.12]",853,0.1059686839631866,0.10433763188745604
"(0.12, 0.154]",841,0.13625825109609607,0.15101070154577884
"(0.154, 0.231]",843,0.18662100176635685,0.20877817319098457
"(0.231, 0.981]",843,0.3956513797519697,0.3665480427046263
