team_name,actual_pts,baseline_xg_pts,combined_xg_pts,actual_rank,baseline_rank,combined_rank,baseline_points_diff,combined_points_diff,baseline_rank_diff,combined_rank_diff,baseline_rank_abs_error,combined_rank_abs_error
Manchester City,100,108,108,1,1,1,8,8,0,0,0,0
Manchester United,81,66,75,2,7,4,-15,-6,5,2,5,2
Tottenham Hotspur,77,87,90,3,3,3,10,13,0,0,0,0
Liverpool,75,99,99,4,2,2,24,24,-2,-2,2,2
Chelsea,70,66,63,5,6,8,-4,-7,1,3,1,3
Arsenal,63,66,72,6,5,5,3,9,-1,-1,1,1
Burnley,54,42,48,7,14,12,-12,-6,7,5,7,5
Everton,49,42,39,8,12,14,-7,-10,4,6,4,6
Leicester City,47,66,69,9,8,7,19,22,-1,-2,1,2
Newcastle United,44,48,48,10,11,11,4,4,1,1,1,1
Crystal Palace,44,69,69,11,4,6,25,25,-7,-5,7,5
AFC Bournemouth,44,39,36,12,17,17,-5,-8,5,5,5,5
West Ham United,42,36,36,13,18,16,-6,-6,5,3,5,3
Watford,41,60,57,14,9,9,19,16,-5,-5,5,5
Brighton & Hove Albion,40,42,39,15,13,15,2,-1,-2,0,2,0
Huddersfield Town,37,33,33,16,20,19,-4,-4,4,3,4,3
Southampton,36,39,33,17,16,18,3,-3,-1,1,1,1
Swansea City,33,42,42,18,15,13,9,9,-3,-5,3,5
Stoke City,33,36,33,19,19,20,3,0,0,1,0,1
West Bromwich Albion,31,54,51,20,10,10,23,20,-10,-10,10,10
